Brand,Category,Title,Text,Rating,Date,Source,Clean_Text
ASOS,Fast Fashion,POOR CUSTOMER SERVICES,"Ordered items for next day delivery - this company uses the worst carrier, namely Royal Mail that doesn't meet their delivery targets. Told to wait 24 hours but the item still didn't arrive told to wait another 24 hours still no sign of the next day delivery item. Been provided with conflicting information by customer services- will never order from ASOS again.",1,2026-06-02 06:38:45+00:00,Trustpilot,ordered item next day delivery company us worst carrier namely royal mail doesnt meet delivery target told wait hour item still didnt arrive told wait another hour still sign next day delivery item provided conflicting information customer service never order asos
Passenger,Ethical Fashion,Great functional coat,"Hello lynda,

Thanks for taking the time to leave your review, we really appreciate your feedback. 

Its great to hear that the coat you purchased ticks all the boxes and is warm. Its also great to hear that there were a great selection of colours to choose from!

Thanks again,",5,2026-06-02 05:46:09+00:00,Trustpilot,hello lynda thanks taking time leave review really appreciate feedback great hear coat purchased tick box warm also great hear great selection colour choose thanks
Boohoo,Fast Fashion,Very easy process to return,"Very easy process to return unwanted items.
Thank you Kai for explaining and helping with the refund for me.",5,2026-06-01 21:50:23+00:00,Trustpilot,easy process return unwanted item thank kai explaining helping refund
Oh Polly,Fast Fashion,I loved how fast the team responded and…,I loved how fast the team responded and how efficient they were,5,2026-06-01 21:26:26+00:00,Trustpilot,loved fast team responded efficient
Boohoo,Fast Fashion,Product were absolute rubbish,"Product were absolute rubbish, very low quality. Then stiffed me on returns short changing me on refund l. Short changing customers great strategy",1,2026-06-01 21:21:46+00:00,Trustpilot,product absolute rubbish low quality stiffed return short changing refund l short changing customer great strategy
Boohoo,Fast Fashion,I ordered from Boohoo and paid for next…,"I ordered from Boohoo and paid for next day delivery, but my parcel was never even handed over to the courier. After contacting customer service, I was told to get back in touch if there was no update and a refund would be arranged. However, when I contacted them again, I was instead told that they needed to “investigate” the issue, leaving me still waiting with no parcel and no refund. I have now also been asked to wait a further two days for the ‘seller’ to respond, which is confusing as the issue appears to be entirely due to the seller’s actions. The lack of a timely resolution has made what should have been a straightforward process unnecessarily frustrating.

It’s extremely annoying to pay extra for next day delivery and then not receive the order at all, especially when the issue appears to be on Boohoo’s side. The communication has been inconsistent, and the whole process has taken far longer than it should. Very disappointing experience.",1,2026-06-01 21:21:30+00:00,Trustpilot,ordered boohoo paid next day delivery parcel never even handed courier contacting customer service told get back touch update refund would arranged however contacted instead told needed investigate issue leaving still waiting parcel refund also asked wait two day seller respond confusing issue appears entirely due seller action lack timely resolution made straightforward process unnecessarily frustrating extremely annoying pay extra next day delivery receive order especially issue appears boohoos side communication inconsistent whole process taken far longer disappointing experience
Passenger,Ethical Fashion,Great quality products,"Hello Richard,

Thanks for taking the time to leave your review, we really appreciate your feedback. 

Its so great to hear that the quality is great and the return process was easy.

Thanks again,",5,2026-06-01 20:57:49+00:00,Trustpilot,hello richard thanks taking time leave review really appreciate feedback great hear quality great return process easy thanks
Boohoo,Fast Fashion,Disappointed & poor customer service,"Disappointed. Been a loyal Boohoo customer for years, pay for the annual premium delivery service and today have been let down by them. Placed an order last night which all seemed fine, got my order confirmation etc. all as expected. Only to find this morning I had the dispatch note with an extra added to my order! They'd added some new ""worry free postage"" fee on that I didn't select and wasn't on my original order confirmation but magically appeared on the dispatch email. So I contacted customer services who have basically said I added it myself and there are no refunds, no exceptions. Really disappointing when I have screenshots of both before it was added on my original order and the dispatch email where it was added. It was only £3 but if they do that to everyone then say it's not our problem then they're going to make a killing off it. I will not be shopping here again! Avoid!",1,2026-06-01 20:44:12+00:00,Trustpilot,disappointed loyal boohoo customer year pay annual premium delivery service today let placed order last night seemed fine got order confirmation etc expected find morning dispatch note extra added order theyd added new worry free postage fee didnt select wasnt original order confirmation magically appeared dispatch email contacted customer service basically said added refund exception really disappointing screenshots added original order dispatch email added everyone say problem theyre going make killing shopping avoid
Passenger,Ethical Fashion,Delighted…,"Hello,

Thanks for taking the time to leave your review, we really appreciate your feedback. 

Its nice to hear that he delivery was prompt and you were delighted with the quality of the clothes.

Thanks again,",5,2026-06-01 20:19:06+00:00,Trustpilot,hello thanks taking time leave review really appreciate feedback nice hear delivery prompt delighted quality clothes thanks
Oh Polly,Fast Fashion,Love BOTH my dresses,"After receiving the wrong colour dress 4 days before a wedding I was attending, Oh Polly shipped me the correct one straight away and let me keep the other one too! Ella was super lovely and helpful, I will use again.",5,2026-06-01 19:11:22+00:00,Trustpilot,receiving wrong colour dress day wedding attending oh polly shipped correct one straight away let keep one ella super lovely helpful use
ASOS,Fast Fashion,"Faulty shoes, zero accountability","I purchased a pair of sneakers from ASOS for over £100. After only 5-6 wears within the first month, the outsoles deteriorated significantly — a clear manufacturing defect. When I contacted customer care they acknowledged the issue but refused to cover return postage despite being legally required to do so for faulty goods under the Consumer Rights Act 2015. I am currently abroad and they would not provide an international return label or offer any alternative remedy. After multiple escalations including to a manager, I was left with no resolution whatsoever. Extremely disappointing for a retailer of this size.",1,2026-06-01 19:06:19+00:00,Trustpilot,purchased pair sneaker asos wear within first month outsole deteriorated significantly clear manufacturing defect contacted customer care acknowledged issue refused cover return postage despite legally required faulty good consumer right act currently abroad would provide international return label offer alternative remedy multiple escalation including manager left resolution whatsoever extremely disappointing retailer size
Passenger,Ethical Fashion,Simple and speedy return process,"Hello,

Thanks for taking the time to leave your review, we really appreciate your feedback. 

Its so great to hear that our return process was simple and also speedy. Its also nice to hear that you are happy with the jacket and its super cosy.

Thanks again,",5,2026-06-01 18:32:30+00:00,Trustpilot,hello thanks taking time leave review really appreciate feedback great hear return process simple also speedy also nice hear happy jacket super cosy thanks
Passenger,Ethical Fashion,Great products,"Hello Bernd,

Thanks for taking the time to leave your review, we really appreciate your feedback. 

Its great to hear you think the products are great along with the fit! 

Thanks again,",5,2026-06-01 18:25:28+00:00,Trustpilot,hello bernd thanks taking time leave review really appreciate feedback great hear think product great along fit thanks
Oh Polly,Fast Fashion,Stunning dress,The dress is absolutely stunning and fits like a glove.,4,2026-06-01 17:12:32+00:00,Trustpilot,dress absolutely stunning fit like glove
Boohoo,Fast Fashion,STEALING FROM CUSTOMERS,"If I could rate lower than 1 star I would. My experience with boohoo has been terrible! on the 10th of April 2026, I returned my boohoo order, a couple of days later Klarna reached out to me to advise boohoo have claimed to have not received this so I needed to provide proof of return. Several times this happened. I then spoke to Boohoo customer service via imessage, someone confirmed to me on the 23rd of April that they received my FULL return. On the 17th of May, I had an update on Klarna to advise I owed money- which is strange as I had returned all items and even had confirmation from boohoo they received this, I reached out to them again via imessage and was told there was nothing they could do as over a month had passed (SHOCKING!), I then emailed their customer service, which has been ongoing for a while now. On the 17th of May I received confirmation again that they have got my return and I was told to wait 8 working days for this to be investigated and for me to get my refund. 8 working days passed, I reached out to boohoo again and was told I received the refund in April (which is not correct as only part was returned to me), I told them to re-read my email trail and come back to me with an update, I was told I needed to wait a further 7 working days for it to be investigated...so what was the previous 8 working days for? I explained I cannot wait another 7 working days and needed an update and the full refund ASAP, I got a response saying it is being investigated and I need to wait 48 hours...
Customer service has been awful, I cannot believe you are refusing to give me my refund back even though you have confirmed on several occasions you received the full return. DO NOT USE THIS COMPANY UNLESS YOU WANT THEM TO STEAL YOUR MONEY.
I asked to speak to a manager to escalate my complaint and was asked 'why, there is nothing a manager can do that our admin team can't' well the admin team apparently can't even give me the refund I deserve. Not even a single apology, this has been going on for almost 2 months now. I will NOT be using Boohoo ever again and I will be taking this further.
I have been a loyal/regular customer with boohoo over the years and I am appalled at how I am being treated.",1,2026-06-01 17:01:41+00:00,Trustpilot,could rate lower star would experience boohoo terrible th april returned boohoo order couple day later klarna reached advise boohoo claimed received needed provide proof return several time happened spoke boohoo customer service via imessage someone confirmed rd april received full return th may update klarna advise owed money strange returned item even confirmation boohoo received reached via imessage told nothing could month passed shocking emailed customer service ongoing th may received confirmation got return told wait working day investigated get refund working day passed reached boohoo told received refund april correct part returned told reread email trail come back update told needed wait working day investigatedso previous working day explained wait another working day needed update full refund asap got response saying investigated need wait hour customer service awful believe refusing give refund back even though confirmed several occasion received full return use company unless want steal money asked speak manager escalate complaint asked nothing manager admin team cant well admin team apparently cant even give refund deserve even single apology going almost month using boohoo ever taking loyalregular customer boohoo year appalled treated
Boohoo,Fast Fashion,I’m unlucky I think with Boohoo,"I’m unlucky I think with Boohoo, everything I have bought has been substandard. Faulty items coming, I bought a really pretty dress, long enough (I can struggle here as have ling kegs) however I just could walk in it, it needed a split in it that’s all! Fit perfectly otherwise. I ordered shorts, they were cheap, just to thruw on fur hols, one leg was clearly longer than the other. I couldn’t dirt a return easily online, as ‘boohoo’ was not recognised with evri! But the Facebook DM was really quick to sort. others might be fine with boo-boo, not me.. Honestly, I’ve had better quality stuff from Temu and shein, get what you pay for I guess.. really gutted about the dress, was so pretty on, but need to be able to walk!",3,2026-06-01 16:57:29+00:00,Trustpilot,im unlucky think boohoo everything bought substandard faulty item coming bought really pretty dress long enough struggle ling keg however could walk needed split thats fit perfectly otherwise ordered short cheap thruw fur hols one leg clearly longer couldnt dirt return easily online boohoo recognised evri facebook dm really quick sort others might fine booboo honestly ive better quality stuff temu shein get pay guess really gutted dress pretty need able walk
Rapanui,Ethical Fashion,Customer Service is excellent,"Customer Service is excellent, I had an issue with some clothing, their response has been First Class, the issue dealt with and I am still a happy customer who will continue to purchase from Rapanui, special thanks to Sarah and Rich for their assistance.",5,2026-06-01 16:46:54+00:00,Trustpilot,customer service excellent issue clothing response first class issue dealt still happy customer continue purchase rapanui special thanks sarah rich assistance
Boohoo,Fast Fashion,Absolutely disgraceful customer…,Absolutely disgraceful customer service! Been trying to get a resolution to my complaint since last Wednesday and every correspondence is system generated! Not looking into all previous information I have sent! Still not received my parcel and nobody taking ownership! Absolute shambles,1,2026-06-01 14:54:50+00:00,Trustpilot,absolutely disgraceful customer service trying get resolution complaint since last wednesday every correspondence system generated looking previous information sent still received parcel nobody taking ownership absolute shamble
Boohoo,Fast Fashion,Paid for next day delivery,"Paid for next day delivery, this hasnt happened. EVRI will not update where my parcel is, and boohoo do not answer whatsapp/facebook, just a continual generic message. I still have no order or refund for paying extra for a parcel ive never received!! Its very frustrating you cant speak to anyone. I specifically chose next day to take away with me.",1,2026-06-01 13:53:42+00:00,Trustpilot,paid next day delivery hasnt happened evri update parcel boohoo answer whatsappfacebook continual generic message still order refund paying extra parcel ive never received frustrating cant speak anyone specifically chose next day take away
ASOS,Fast Fashion,My package was not delivered at my…,"My package was not delivered at my house and the package delivery had made a mistake. The customer service wouldn’t help me at all. In the end, I now have paid for a package that I have never even seen and Asos isn’t willing to do anything about it.",1,2026-06-01 13:50:03+00:00,Trustpilot,package delivered house package delivery made mistake customer service wouldnt help end paid package never even seen asos isnt willing anything
Oh Polly,Fast Fashion,Thank you so much,"Thank you so much.
I love Oh Polly , from
Day 1.
The prettiest dresses but the best customer service ♥️",5,2026-06-01 13:02:43+00:00,Trustpilot,thank much love oh polly day prettiest dress best customer service
Lucy & Yak,Ethical Fashion,Wonderful company great clothes,Loved my dungarees great quality but to big! Had to return for smaller size which fit perfectly. What I am really impressed with is their customer service it was exemplary as several emails were exchanged due to refund/discount etc nothing was too much trouble so thank you Lucy & yak shining example how to treat customers 🥰,5,2026-06-01 12:27:09+00:00,Trustpilot,loved dungaree great quality big return smaller size fit perfectly really impressed customer service exemplary several email exchanged due refunddiscount etc nothing much trouble thank lucy yak shining example treat customer
Passenger,Ethical Fashion,Good quality,"Hello Kunde, 

Thanks for taking the time to leave us a 5 star review! 

We are glad to hear you are satisfied with the quality of your products :) 

Thanks again, 

Heidi -  Passenger Team",5,2026-06-01 11:28:47+00:00,Trustpilot,hello kunde thanks taking time leave u star review glad hear satisfied quality product thanks heidi passenger team
Boohoo,Fast Fashion,BREAKING GDPR laws,BREAKING GDPR laws. I've requested to have my account deleted at the start of 2026! It is JUNE and it has not been deleted despite me constantly requesting this nonstop. Would not recommend this brand at all!,1,2026-06-01 11:28:09+00:00,Trustpilot,breaking gdpr law ive requested account deleted start june deleted despite constantly requesting nonstop would recommend brand
Passenger,Ethical Fashion,Great quality product and very nice…,"Hello Phoebe,

Thanks for taking the time to leave your review, we really appreciate your feedback. 

Its so great to hear you think the quality is great and we have very nice customer service. We do aim to please!

Thanks again,",5,2026-06-01 10:41:32+00:00,Trustpilot,hello phoebe thanks taking time leave review really appreciate feedback great hear think quality great nice customer service aim please thanks
Passenger,Ethical Fashion,Super warm and comfortable,"Hello Kirk,

Thanks for taking the time to leave your review, we really appreciate your feedback. 

Its so nice to hear that you find the items super warm and confirmable. Its also nice to hear you think the quality is great. 

Thanks again,",5,2026-06-01 10:10:28+00:00,Trustpilot,hello kirk thanks taking time leave review really appreciate feedback nice hear find item super warm confirmable also nice hear think quality great thanks
Passenger,Ethical Fashion,Great customer service and prompt…,"Hello John, 

Thank you for leaving us a glowing review! We are so glad to hear our customer support was helpful and that the delivery was quick and easy. 

Thanks again, 

Heidi - Passenger Team",5,2026-06-01 10:06:46+00:00,Trustpilot,hello john thank leaving u glowing review glad hear customer support helpful delivery quick easy thanks heidi passenger team
Oh Polly,Fast Fashion,Quick and helpful customer service,"Hello Lily,

We're so glad to hear our team could assist you effectively during a challenging time. Your kind words are truly appreciated.

We look forward to serving you again in the future. Take care and enjoy the rest of your day!

Thanks,
Oh Polly Customer Care Team",5,2026-06-01 09:51:39+00:00,Trustpilot,hello lily glad hear team could assist effectively challenging time kind word truly appreciated look forward serving future take care enjoy rest day thanks oh polly customer care team
Boohoo,Fast Fashion,Never again,"Never again! Who would have thought returning a faulty item would be so bureaucratic. It has been a month and I've only just received my refund now and they had the audacity to retain £2 for the returns process.

Boohoo claimed they could not find the order against the order number issued by them? I honestly thought I was being scammed by email rather than chatting to a major online retailer.

After sending emails upon emails, receiving links that do not work, to finally returning the item, I was receiving inconsistent advice about how the refund would be processed and had to prove postage by sending not only proof of postage but delivery as well, bizarre and not what you would expect from a seemingly successful retailer.

The entire experience is a turn off and I will never be buying anything from them again. It made me wonder what kind of cowboy operation was running behind the scenes.

It's also concerning that they are not following GDPR and had my information saved from 10 years ago, which became apparent when they were referencing old details",1,2026-06-01 09:40:13+00:00,Trustpilot,never would thought returning faulty item would bureaucratic month ive received refund audacity retain return process boohoo claimed could find order order number issued honestly thought scammed email rather chatting major online retailer sending email upon email receiving link work finally returning item receiving inconsistent advice refund would processed prove postage sending proof postage delivery well bizarre would expect seemingly successful retailer entire experience turn never buying anything made wonder kind cowboy operation running behind scene also concerning following gdpr information saved year ago became apparent referencing old detail
Passenger,Ethical Fashion,Really lovely quality clothes and fit…,"Hello em,

Thanks for taking the time to leave your review, we really appreciate your feedback. 

Its so nice to hear that you feel the quality, fit & size of the clothes is always perfect. Its also great to hear you always get compliments whilst wearing your Passenger items.

Thanks again,",5,2026-06-01 09:29:50+00:00,Trustpilot,hello em thanks taking time leave review really appreciate feedback nice hear feel quality fit size clothes always perfect also great hear always get compliment whilst wearing passenger item thanks
Passenger,Ethical Fashion,Very quick and clear process,"Hello Michael,

Thanks for taking the time to leave your review, we really appreciate your feedback. 

Its nice to hear that the delivery was quick and the process was clear.

Thanks again,",5,2026-06-01 07:28:42+00:00,Trustpilot,hello michael thanks taking time leave review really appreciate feedback nice hear delivery quick process clear thanks
Oh Polly,Fast Fashion,Oh Polly is FABULOUS!!,"Hello Alexa,

We're so sorry to hear about the initial issues you encountered, we take these issues very seriously so we'll be looking into this further with our team. Depsite this, we're glad our team were able to help you and ship your replacement item out with express shipping.

We look forward to serving you again in the future. Take care and enjoy the rest of your day!

Thanks,
Oh Polly Customer Care Team",5,2026-06-01 05:16:13+00:00,Trustpilot,hello alexa sorry hear initial issue encountered take issue seriously well looking team depsite glad team able help ship replacement item express shipping look forward serving future take care enjoy rest day thanks oh polly customer care team
Passenger,Ethical Fashion,Paid for next day delivery,"Hello John,

Thanks for reaching out. I am so sorry to hear your order was not delivered on time as expected. 

Looking at our inbox, we genuinely cannot locate any emails from you. Please reach out to us directly at hello@passenger-clothing.com with you order number so we can make this right for you. 

Thanks again,
Heidi - Passenger Team",1,2026-06-01 05:14:43+00:00,Trustpilot,hello john thanks reaching sorry hear order delivered time expected looking inbox genuinely locate email please reach u directly hellopassengerclothingcom order number make right thanks heidi passenger team
Oh Polly,Fast Fashion,Amazing service!,"Hello,

Thanks for your lovely review. We're so glad to hear you experienced an amazing service with us. We look forward to serving you again in the future.

Take care!

Thanks,
Lauren",5,2026-06-01 03:02:50+00:00,Trustpilot,hello thanks lovely review glad hear experienced amazing service u look forward serving future take care thanks lauren
Oh Polly,Fast Fashion,Discount code issues,"Hello Soo-Youn,

We are so glad we could efficiently resolve the discount code issue for you! We hope you adore your new dresses!

We look forward to serving you again in the future. Take care and enjoy the rest of your day!

Thanks,
Oh Polly Customer Care Team",5,2026-06-01 00:58:08+00:00,Trustpilot,hello sooyoun glad could efficiently resolve discount code issue hope adore new dress look forward serving future take care enjoy rest day thanks oh polly customer care team
Passenger,Ethical Fashion,Very warm & cosy,"Hello Anne, 

Thank you so much for taking the time to leave us a review! We are so glad to hear you find your item warm and cosy. 

Take care, 

Heidi - Passenger Team",4,2026-06-01 00:27:24+00:00,Trustpilot,hello anne thank much taking time leave u review glad hear find item warm cosy take care heidi passenger team
Passenger,Ethical Fashion,Bad price-quality,"Hello Corinda,

Thank you for sharing your feedback with us

I'm so sorry to hear that you've been charged import taxes for goods entering your country, unfortunately this is not something that's within our control but I appreciate this will be really frustrating for you. When ordering from outside of your local area, it's always best to check with your Government's local import policy, so you're aware of the charges.

Details regarding international deliveries can be found on our website here.

Thanks again, 
Heidi - Passenger Team",1,2026-05-31 22:58:59+00:00,Trustpilot,hello corinda thank sharing feedback u im sorry hear youve charged import tax good entering country unfortunately something thats within control appreciate really frustrating ordering outside local area always best check government local import policy youre aware charge detail regarding international delivery found website thanks heidi passenger team
Boohoo,Fast Fashion,I received only part of my order,"I received only part of my order, missing the tracksuit bottoms. I contacted Boohoo and received a timely response, which included a full refund. Thank you, Ellis, for handling it so promptly.",5,2026-05-31 21:16:24+00:00,Trustpilot,received part order missing tracksuit bottom contacted boohoo received timely response included full refund thank elli handling promptly
Passenger,Ethical Fashion,I love the colours but the quality is…,"Hello,

Thank you for taking the time to share your feedback. While we're glad you loved the colours, we are incredibly sorry to hear that the material didn't live up to the quality you’ve come to expect from us.

As a returning customer, your loyalty means the world to us, and it’s disappointing to hear that this purchase felt like a step backward. We want our gear to feel durable and well-made, not thin or see-through, so we will be passing your comments directly to our product and quality control teams to look into this immediately.

We would love the chance to make this right and restore your confidence in us. Please reach out to our dedicated support team at hello@passenger-clothing.com with your order details so we can arrange a solution for you.

Thanks again, 
Heidi -  Passenger Team",2,2026-05-31 20:50:54+00:00,Trustpilot,hello thank taking time share feedback glad loved colour incredibly sorry hear material didnt live quality youve come expect u returning customer loyalty mean world u disappointing hear purchase felt like step backward want gear feel durable wellmade thin seethrough passing comment directly product quality control team look immediately would love chance make right restore confidence u please reach dedicated support team hellopassengerclothingcom order detail arrange solution thanks heidi passenger team
Passenger,Ethical Fashion,Very fast delivery,"Hello Alison,

Thanks for taking the time to leave your review, we really appreciate your feedback. 

Its so great to hear your order arrived very fast and thank you for your feedback in regards to the colour and warmth of the item.

Thanks again,",5,2026-05-31 20:34:04+00:00,Trustpilot,hello alison thanks taking time leave review really appreciate feedback great hear order arrived fast thank feedback regard colour warmth item thanks
